* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Aug 23 19:25:22, Aug 23 19:25:38, Aug 23 19:25:53
* Dated: Aug 23, 2020 7:26:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from Aug 23 19:25:22, Aug 23 19:25:38, Aug 23 19:25:53
* Measurement: avg_left
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
290.771 72.053 0
291.138 71.983 0
291.504 71.919 0
291.870 71.859 0
292.236 71.804 0
292.603 71.755 0
292.969 71.710 0
293.335 71.671 0
293.701 71.637 0
294.067 71.609 0
294.434 71.585 0
294.800 71.566 0
295.166 71.551 0
295.532 71.542 0
295.898 71.536 0
296.265 71.535 0
296.631 71.538 0
296.997 71.544 0
297.363 71.554 0
297.729 71.567 0
298.096 71.583 0
298.462 71.602 0
298.828 71.623 0
299.194 71.647 0
299.561 71.672 0
299.927 71.700 0
300.293 71.729 0
300.659 71.760 0
301.025 71.791 0
301.392 71.824 0
301.758 71.858 0
302.124 71.892 0
302.490 71.926 0
302.856 71.961 0
303.223 71.996 0
303.589 72.031 0
303.955 72.066 0
304.321 72.101 0
304.688 72.135 0
305.054 72.168 0
305.420 72.201 0
305.786 72.233 0
306.152 72.263 0
306.519 72.293 0
306.885 72.322 0
307.251 72.349 0
307.617 72.375 0
307.983 72.399 0
308.350 72.422 0
308.716 72.443 0
309.082 72.462 0
309.448 72.480 0
309.814 72.495 0
310.181 72.509 0
310.547 72.521 0
310.913 72.530 0
311.279 72.538 0
311.646 72.544 0
312.012 72.547 0
312.378 72.548 0
312.744 72.547 0
313.110 72.544 0
313.477 72.539 0
313.843 72.532 0
314.209 72.522 0
314.575 72.510 0
314.941 72.496 0
315.308 72.480 0
315.674 72.462 0
316.040 72.442 0
316.406 72.420 0
316.772 72.396 0
317.139 72.369 0
317.505 72.342 0
317.871 72.312 0
318.237 72.280 0
318.604 72.247 0
318.970 72.213 0
319.336 72.177 0
319.702 72.139 0
320.068 72.100 0
320.435 72.060 0
320.801 72.019 0
321.167 71.977 0
321.533 71.934 0
321.899 71.891 0
322.266 71.847 0
322.632 71.802 0
322.998 71.757 0
323.364 71.712 0
323.730 71.667 0
324.097 71.621 0
324.463 71.576 0
324.829 71.532 0
325.195 71.487 0
325.562 71.443 0
325.928 71.400 0
326.294 71.358 0
326.660 71.316 0
327.026 71.276 0
327.393 71.236 0
327.759 71.198 0
328.125 71.161 0
328.491 71.126 0
328.857 71.092 0
329.224 71.059 0
329.590 71.028 0
329.956 70.999 0
330.322 70.972 0
330.688 70.946 0
331.055 70.922 0
331.421 70.900 0
331.787 70.880 0
332.153 70.862 0
332.520 70.846 0
332.886 70.832 0
333.252 70.820 0
333.618 70.810 0
333.984 70.802 0
334.351 70.796 0
334.717 70.792 0
335.083 70.790 0
335.449 70.790 0
335.815 70.792 0
336.182 70.796 0
336.548 70.801 0
336.914 70.809 0
337.280 70.819 0
337.646 70.830 0
338.013 70.843 0
338.379 70.858 0
338.745 70.875 0
339.111 70.893 0
339.478 70.912 0
339.844 70.933 0
340.210 70.956 0
340.576 70.979 0
340.942 71.004 0
341.309 71.030 0
341.675 71.057 0
342.041 71.085 0
342.407 71.113 0
342.773 71.143 0
343.140 71.173 0
343.506 71.203 0
343.872 71.234 0
344.238 71.265 0
344.604 71.296 0
344.971 71.327 0
345.337 71.359 0
345.703 71.390 0
346.069 71.421 0
346.436 71.452 0
346.802 71.482 0
347.168 71.512 0
347.534 71.541 0
347.900 71.570 0
348.267 71.598 0
348.633 71.625 0
348.999 71.652 0
349.365 71.677 0
349.731 71.702 0
350.098 71.725 0
350.464 71.748 0
350.830 71.769 0
351.196 71.789 0
351.562 71.808 0
351.929 71.826 0
352.295 71.843 0
352.661 71.858 0
353.027 71.872 0
353.394 71.885 0
353.760 71.897 0
354.126 71.907 0
354.492 71.917 0
354.858 71.924 0
355.225 71.931 0
355.591 71.937 0
355.957 71.941 0
356.323 71.944 0
356.689 71.946 0
357.056 71.946 0
357.422 71.946 0
357.788 71.944 0
358.154 71.942 0
358.521 71.938 0
358.887 71.933 0
359.253 71.928 0
359.619 71.921 0
359.985 71.914 0
360.352 71.906 0
360.718 71.897 0
361.084 71.887 0
361.450 71.877 0
361.816 71.866 0
362.183 71.854 0
362.549 71.842 0
362.915 71.829 0
363.281 71.816 0
363.647 71.803 0
364.014 71.789 0
364.380 71.775 0
364.746 71.761 0
365.112 71.746 0
365.479 71.732 0
365.845 71.717 0
366.211 71.702 0
366.577 71.688 0
366.943 71.673 0
367.310 71.658 0
367.676 71.644 0
368.042 71.630 0
368.408 71.616 0
368.774 71.602 0
369.141 71.589 0
369.507 71.576 0
369.873 71.563 0
370.239 71.551 0
370.605 71.539 0
370.972 71.527 0
