* Measurement data measured by REW V5.19
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Aug 23 19:23:20, Aug 23 19:23:40, Aug 23 19:24:07
* Dated: Aug 23, 2020 7:24:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from Aug 23 19:23:20, Aug 23 19:23:40, Aug 23 19:24:07
* Measurement: avg_right
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
236.938 69.793 0
237.305 69.563 0
237.671 69.335 0
238.037 69.110 0
238.403 68.888 0
238.770 68.670 0
239.136 68.458 0
239.502 68.252 0
239.868 68.053 0
240.234 67.863 0
240.601 67.682 0
240.967 67.513 0
241.333 67.356 0
241.699 67.213 0
242.065 67.085 0
242.432 66.975 0
242.798 66.883 0
243.164 66.811 0
243.530 66.760 0
243.896 66.731 0
244.263 66.724 0
244.629 66.740 0
244.995 66.778 0
245.361 66.838 0
245.728 66.918 0
246.094 67.019 0
246.460 67.138 0
246.826 67.274 0
247.192 67.425 0
247.559 67.589 0
247.925 67.766 0
248.291 67.952 0
248.657 68.146 0
249.023 68.347 0
249.390 68.554 0
249.756 68.763 0
250.122 68.976 0
250.488 69.189 0
250.854 69.403 0
251.221 69.616 0
251.587 69.828 0
251.953 70.037 0
252.319 70.243 0
252.686 70.445 0
253.052 70.643 0
253.418 70.837 0
253.784 71.025 0
254.150 71.207 0
254.517 71.384 0
254.883 71.554 0
255.249 71.718 0
255.615 71.875 0
255.981 72.025 0
256.348 72.168 0
256.714 72.303 0
257.080 72.431 0
257.446 72.552 0
257.812 72.666 0
258.179 72.772 0
258.545 72.870 0
258.911 72.962 0
259.277 73.047 0
259.644 73.125 0
260.010 73.196 0
260.376 73.262 0
260.742 73.321 0
261.108 73.375 0
261.475 73.424 0
261.841 73.468 0
262.207 73.508 0
262.573 73.544 0
262.939 73.577 0
263.306 73.607 0
263.672 73.634 0
264.038 73.660 0
264.404 73.685 0
264.771 73.709 0
265.137 73.732 0
265.503 73.756 0
265.869 73.781 0
266.235 73.807 0
266.602 73.834 0
266.968 73.864 0
267.334 73.895 0
267.700 73.930 0
268.066 73.967 0
268.433 74.007 0
268.799 74.050 0
269.165 74.096 0
269.531 74.146 0
269.897 74.199 0
270.264 74.254 0
270.630 74.313 0
270.996 74.374 0
271.362 74.437 0
271.729 74.502 0
272.095 74.569 0
272.461 74.637 0
272.827 74.707 0
273.193 74.777 0
273.560 74.847 0
273.926 74.917 0
274.292 74.987 0
274.658 75.056 0
275.024 75.124 0
275.391 75.190 0
275.757 75.255 0
276.123 75.318 0
276.489 75.379 0
276.855 75.438 0
277.222 75.494 0
277.588 75.547 0
277.954 75.597 0
278.320 75.645 0
278.687 75.690 0
279.053 75.731 0
279.419 75.769 0
279.785 75.804 0
280.151 75.836 0
280.518 75.865 0
280.884 75.890 0
281.250 75.911 0
281.616 75.930 0
281.982 75.944 0
282.349 75.956 0
282.715 75.964 0
283.081 75.968 0
283.447 75.970 0
283.813 75.967 0
284.180 75.962 0
284.546 75.953 0
284.912 75.940 0
285.278 75.925 0
285.645 75.906 0
286.011 75.883 0
286.377 75.857 0
286.743 75.828 0
287.109 75.796 0
287.476 75.761 0
287.842 75.722 0
288.208 75.680 0
288.574 75.635 0
288.940 75.588 0
289.307 75.537 0
289.673 75.484 0
290.039 75.428 0
290.405 75.369 0
290.771 75.308 0
291.138 75.245 0
291.504 75.180 0
291.870 75.113 0
292.236 75.044 0
292.603 74.973 0
292.969 74.901 0
293.335 74.828 0
293.701 74.754 0
294.067 74.679 0
294.434 74.604 0
294.800 74.528 0
295.166 74.452 0
295.532 74.377 0
295.898 74.301 0
296.265 74.227 0
296.631 74.153 0
296.997 74.080 0
297.363 74.009 0
297.729 73.939 0
298.096 73.872 0
298.462 73.806 0
298.828 73.742 0
299.194 73.681 0
299.561 73.622 0
299.927 73.567 0
300.293 73.514 0
300.659 73.464 0
301.025 73.418 0
301.392 73.375 0
301.758 73.336 0
302.124 73.301 0
302.490 73.269 0
302.856 73.241 0
303.223 73.217 0
303.589 73.197 0
303.955 73.180 0
304.321 73.168 0
304.688 73.160 0
305.054 73.155 0
305.420 73.154 0
305.786 73.157 0
306.152 73.163 0
306.519 73.173 0
306.885 73.186 0
307.251 73.202 0
307.617 73.220 0
307.983 73.242 0
308.350 73.266 0
308.716 73.292 0
309.082 73.320 0
309.448 73.350 0
309.814 73.381 0
310.181 73.414 0
310.547 73.447 0
310.913 73.481 0
311.279 73.515 0
311.646 73.550 0
312.012 73.584 0
312.378 73.619 0
312.744 73.652 0
313.110 73.685 0
313.477 73.716 0
313.843 73.747 0
314.209 73.776 0
314.575 73.803 0
314.941 73.829 0
315.308 73.852 0
315.674 73.874 0
316.040 73.893 0
316.406 73.911 0
316.772 73.925 0
317.139 73.938 0
317.505 73.948 0
317.871 73.955 0
318.237 73.960 0
318.604 73.962 0
318.970 73.962 0
319.336 73.959 0
319.702 73.953 0
320.068 73.945 0
320.435 73.935 0
320.801 73.922 0
321.167 73.906 0
321.533 73.889 0
321.899 73.869 0
322.266 73.847 0
322.632 73.823 0
322.998 73.797 0
323.364 73.769 0
323.730 73.739 0
324.097 73.708 0
324.463 73.675 0
324.829 73.641 0
325.195 73.605 0
325.562 73.569 0
325.928 73.531 0
326.294 73.492 0
326.660 73.452 0
327.026 73.412 0
327.393 73.371 0
327.759 73.329 0
328.125 73.287 0
328.491 73.244 0
328.857 73.201 0
329.224 73.157 0
329.590 73.114 0
329.956 73.070 0
330.322 73.026 0
330.688 72.981 0
331.055 72.937 0
331.421 72.892 0
331.787 72.847 0
332.153 72.803 0
332.520 72.758 0
332.886 72.713 0
333.252 72.667 0
333.618 72.622 0
333.984 72.577 0
334.351 72.531 0
334.717 72.485 0
335.083 72.438 0
335.449 72.392 0
335.815 72.345 0
336.182 72.297 0
336.548 72.250 0
336.914 72.202 0
337.280 72.153 0
337.646 72.104 0
338.013 72.054 0
338.379 72.004 0
338.745 71.953 0
339.111 71.902 0
339.478 71.850 0
339.844 71.798 0
340.210 71.745 0
340.576 71.692 0
340.942 71.638 0
341.309 71.584 0
341.675 71.529 0
342.041 71.474 0
342.407 71.419 0
342.773 71.363 0
343.140 71.307 0
343.506 71.250 0
343.872 71.194 0
344.238 71.138 0
344.604 71.081 0
344.971 71.025 0
345.337 70.969 0
345.703 70.913 0
346.069 70.857 0
346.436 70.802 0
346.802 70.748 0
347.168 70.694 0
347.534 70.641 0
347.900 70.589 0
348.267 70.537 0
348.633 70.487 0
348.999 70.438 0
349.365 70.391 0
349.731 70.344 0
350.098 70.299 0
350.464 70.256 0
350.830 70.214 0
351.196 70.174 0
351.562 70.136 0
351.929 70.100 0
352.295 70.065 0
352.661 70.033 0
353.027 70.002 0
353.394 69.974 0
353.760 69.947 0
354.126 69.923 0
354.492 69.901 0
354.858 69.881 0
355.225 69.863 0
355.591 69.848 0
355.957 69.834 0
356.323 69.823 0
356.689 69.814 0
357.056 69.807 0
357.422 69.802 0
357.788 69.799 0
358.154 69.798 0
358.521 69.799 0
358.887 69.802 0
359.253 69.807 0
359.619 69.814 0
359.985 69.822 0
360.352 69.832 0
360.718 69.844 0
361.084 69.858 0
361.450 69.873 0
361.816 69.889 0
362.183 69.907 0
362.549 69.926 0
362.915 69.947 0
363.281 69.969 0
363.647 69.992 0
364.014 70.016 0
364.380 70.042 0
364.746 70.068 0
365.112 70.096 0
365.479 70.125 0
365.845 70.154 0
366.211 70.185 0
366.577 70.216 0
366.943 70.248 0
367.310 70.281 0
367.676 70.315 0
368.042 70.349 0
368.408 70.385 0
368.774 70.421 0
369.141 70.457 0
369.507 70.494 0
369.873 70.532 0
370.239 70.571 0
370.605 70.610 0
370.972 70.650 0
371.338 70.690 0
371.704 70.731 0
372.070 70.772 0
372.437 70.814 0
372.803 70.857 0
373.169 70.900 0
373.535 70.943 0
373.901 70.987 0
374.268 71.032 0
374.634 71.077 0
375.000 71.123 0
375.366 71.169 0
375.732 71.215 0
376.099 71.263 0
376.465 71.311 0
376.831 71.359 0
377.197 71.408 0
377.563 71.458 0
377.930 71.508 0
378.296 71.559 0
378.662 71.610 0
379.028 71.662 0
379.395 71.714 0
379.761 71.768 0
380.127 71.821 0
380.493 71.876 0
380.859 71.931 0
381.226 71.987 0
381.592 72.043 0
381.958 72.100 0
382.324 72.158 0
382.690 72.216 0
383.057 72.275 0
383.423 72.334 0
383.789 72.394 0
384.155 72.455 0
384.521 72.516 0
384.888 72.578 0
385.254 72.640 0
385.620 72.703 0
385.986 72.766 0
386.353 72.830 0
386.719 72.894 0
387.085 72.958 0
387.451 73.023 0
387.817 73.088 0
388.184 73.154 0
388.550 73.219 0
388.916 73.285 0
389.282 73.351 0
389.648 73.417 0
390.015 73.483 0
390.381 73.550 0
390.747 73.616 0
391.113 73.682 0
391.479 73.748 0
391.846 73.814 0
392.212 73.879 0
392.578 73.945 0
392.944 74.010 0
393.311 74.074 0
393.677 74.139 0
394.043 74.203 0
394.409 74.266 0
394.775 74.329 0
395.142 74.391 0
395.508 74.452 0
395.874 74.513 0
396.240 74.573 0
396.606 74.633 0
396.973 74.691 0
397.339 74.749 0
397.705 74.806 0
398.071 74.861 0
398.438 74.916 0
398.804 74.970 0
399.170 75.023 0
399.536 75.074 0
399.902 75.125 0
400.269 75.174 0
400.635 75.222 0
401.001 75.269 0
401.367 75.315 0
401.733 75.359 0
402.100 75.402 0
402.466 75.444 0
402.832 75.484 0
403.198 75.524 0
403.564 75.561 0
403.931 75.597 0
404.297 75.632 0
404.663 75.666 0
405.029 75.698 0
405.396 75.728 0
405.762 75.757 0
406.128 75.785 0
406.494 75.811 0
406.860 75.835 0
407.227 75.858 0
407.593 75.880 0
407.959 75.900 0
408.325 75.918 0
408.691 75.935 0
409.058 75.951 0
409.424 75.964 0
409.790 75.977 0
410.156 75.988 0
410.522 75.997 0
410.889 76.005 0
411.255 76.012 0
411.621 76.017 0
411.987 76.020 0
412.354 76.022 0
412.720 76.023 0
413.086 76.022 0
413.452 76.020 0
413.818 76.016 0
414.185 76.011 0
414.551 76.005 0
414.917 75.997 0
415.283 75.988 0
415.649 75.978 0
416.016 75.966 0
416.382 75.953 0
416.748 75.939 0
417.114 75.923 0
417.480 75.906 0
417.847 75.888 0
418.213 75.869 0
